,address,species,block,street,trap,address_number_and_street,latitude,longitude,address_accuracy,wnv_present,num_mosquitos,year,month,day,station,stat_1_tmax,stat_1_tmin,stat_1_tavg,stat_1_precip_total,day_length_mprec,day_length_nearh,sunrise_hours,sunset_hours,mixed_tmax,mixed_tmin,mixed_precip_total,stat_2_tmax,stat_2_tmin,stat_2_tavg,stat_2_precip_total
0,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
1,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
2,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
3,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
4,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
5,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,2,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
6,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,0,3,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
7,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
8,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,2,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
9,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,0,3,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
10,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
11,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
12,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
13,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,0,5,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
14,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
15,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
16,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
17,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
18,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
19,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
20,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
21,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,0,4,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
22,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
23,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,0,1,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
24,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,0,2,2007,5,29,1,88,60,74.0,0.0,896.0,15.0,4.35,19.283333333333335,88.0,62.5,0.0,88,65,77.0,0.0
25,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
26,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
27,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
28,"1100 South State Street, Chicago, IL 60605, USA",CULEX PIPIENS/RESTUANS,11, S STATE ST,T092,"1100  S STATE ST, Chicago, IL",41.869216,-87.627561,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
30,"1400 North Sacramento Avenue, Chicago, IL 60622, USA",CULEX RESTUANS,14, N HUMBOLDT DR,T033,"1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,9,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
31,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,0,3,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
32,"1500 West Granville Avenue, Chicago, IL 60660, USA",CULEX PIPIENS/RESTUANS,15, W GRANVILLE AVE,T149,"1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
33,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
34,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
35,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
36,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
37,"1800 West Farwell Avenue, Chicago, IL 60626, USA",CULEX RESTUANS,18, W FARWELL AVE,T150,"1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,9,0,2,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
38,"2100 North Lawler Avenue, Chicago, IL 60639, USA",CULEX RESTUANS,21, N LAWLER AVE,T154,"2100  N LAWLER AVE, Chicago, IL",41.918705,-87.752329,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
39,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
40,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,0,1,2007,6,5,1,64,47,56.0,0.42,906.0,15.0,4.283333333333333,19.383333333333333,63.5,49.0,0.345,63,51,57.0,0.27
